Title,Company,Salary Range,Fit Score,Location,Resume Link,Cover Letter Link,Job Link
PadSplit - Senior Data Analyst (Fully Remote),Padsplit,₹18 - ₹28 LPA (Est.),88%,Remote (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Padsplit_PadSplit___Seni_20260902_155926.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Padsplit_PadSplit___Seni_20260902_155926.pdf,https://jobs.lever.co/padsplit/323075a3-d79e-49c4-9591-a7d3240c387d
Data Analyst,Clarivate,₹12 - ₹16 LPA (Est.),88%,Remote (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Clarivate_Data_Analyst_20260902_155927.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Clarivate_Data_Analyst_20260902_155927.pdf,https://clarivate.wd3.myworkdayjobs.com/en-US/Clarivate_Careers/job/Data-Analyst_JREQ136414-1
ShyftLabs - Senior Data Analyst,Shyftlabs,₹12 - ₹16 LPA (Est.),88%,Noida (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Shyftlabs_ShyftLabs___Sen_20260902_155927.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Shyftlabs_ShyftLabs___Sen_20260902_155927.pdf,https://jobs.lever.co/shyftlabs/60b192de-bdc7-4ae0-b2ca-a7327939ce1d
"Vice President, Business Analyst",Uobgroup,₹12 - ₹16 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Uobgroup_Vice_President__20260902_155928.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Uobgroup_Vice_President__20260902_155928.pdf,https://uobgroup.wd3.myworkdayjobs.com/en-US/uobexternal/job/Central-Region-City-Area/Vice-President--Business-Analyst_JR92218
"Data Analyst, Metrics & Reporting",Livenation,₹12 - ₹16 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Livenation_Data_Analyst__M_20260902_155929.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Livenation_Data_Analyst__M_20260902_155929.pdf,https://livenation.wd503.myworkdayjobs.com/lnexternalsite/job/work-from-home---texas/data-analyst--metrics---reporting_jr-92754-2
"Lifted, an Upwork Company™ #130527 - Data Analyst",Liftedanupworkcompany,₹12 - ₹16 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Liftedanupworkc_Lifted__an_Upwo_20260902_155929.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Liftedanupworkc_Lifted__an_Upwo_20260902_155929.pdf,https://jobs.smartrecruiters.com/LiftedanUpworkCompany/3743990014969196--130527-data-analyst-
"Data Analyst, Clinical Analytics and Reporting",Davita,₹12 - ₹16 LPA (Est.),88%,Remote (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Davita_Data_Analyst__C_20260902_155930.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Davita_Data_Analyst__C_20260902_155930.pdf,https://davita.wd1.myworkdayjobs.com/dkc_external/job/09567---denver-hq-non-ca-or-co-remote/data-analyst--clinical-analytics-and-reporting_r0472175
Systems Integration & Automation Analyst - Jobgether,Jobgether,₹12 - ₹16 LPA (Est.),88%,Remote,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Jobgether_Systems_Integra_20260902_160710.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Jobgether_Systems_Integra_20260902_160710.pdf,https://jobs.lever.co/jobgether/4acf2b4b-cdeb-4cea-a57f-2628f4c7b701
PadSplit - Senior Data Analyst (Fully Remote),Padsplit,₹12 - ₹16 LPA (Est.),88%,Remote,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Padsplit_PadSplit___Seni_20260902_160711.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Padsplit_PadSplit___Seni_20260902_160711.pdf,https://jobs.lever.co/padsplit/323075a3-d79e-49c4-9591-a7d3240c387d
Data Analyst,Clarivate,₹12 - ₹16 LPA (Est.),88%,Remote,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Clarivate_Data_Analyst_20260902_160712.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Clarivate_Data_Analyst_20260902_160712.pdf,https://clarivate.wd3.myworkdayjobs.com/en-US/Clarivate_Careers/job/Data-Analyst_JREQ136414-1
ShyftLabs - Senior Data Analyst,Shyftlabs,₹12 - ₹16 LPA (Est.),88%,Noida,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Shyftlabs_ShyftLabs___Sen_20260902_160713.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Shyftlabs_ShyftLabs___Sen_20260902_160713.pdf,https://jobs.lever.co/shyftlabs/60b192de-bdc7-4ae0-b2ca-a7327939ce1d
"Vice President, Business Analyst",Uobgroup,₹12 - ₹16 LPA (Est.),88%,India,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Uobgroup_Vice_President__20260902_160714.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Uobgroup_Vice_President__20260902_160714.pdf,https://uobgroup.wd3.myworkdayjobs.com/en-US/uobexternal/job/Central-Region-City-Area/Vice-President--Business-Analyst_JR92218
"Data Analyst, Metrics & Reporting",Livenation,₹12 - ₹16 LPA (Est.),88%,India,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Livenation_Data_Analyst__M_20260902_160714.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Livenation_Data_Analyst__M_20260902_160714.pdf,https://livenation.wd503.myworkdayjobs.com/lnexternalsite/job/work-from-home---texas/data-analyst--metrics---reporting_jr-92754-2
"Lifted, an Upwork Company™ #130527 - Data Analyst",Liftedanupworkcompany,₹12 - ₹16 LPA (Est.),88%,India,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Liftedanupworkc_Lifted__an_Upwo_20260902_160715.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Liftedanupworkc_Lifted__an_Upwo_20260902_160715.pdf,https://jobs.smartrecruiters.com/LiftedanUpworkCompany/3743990014969196--130527-data-analyst-
"Data Analyst, Clinical Analytics and Reporting",Davita,₹12 - ₹16 LPA (Est.),88%,Remote,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Davita_Data_Analyst__C_20260902_160716.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Davita_Data_Analyst__C_20260902_160716.pdf,https://davita.wd1.myworkdayjobs.com/dkc_external/job/09567---denver-hq-non-ca-or-co-remote/data-analyst--clinical-analytics-and-reporting_r0472175
ShyftLabs - Senior Data Analyst,Shyftlabs,₹12 - ₹17 LPA (Est.),88%,Noida,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Shyftlabs_ShyftLabs___Sen_20260902_161558.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Shyftlabs_ShyftLabs___Sen_20260902_161558.pdf,https://jobs.lever.co/shyftlabs/60b192de-bdc7-4ae0-b2ca-a7327939ce1d/apply
Data Analyst (Product & Customer Analytics),Oowlish,₹12 - ₹16 LPA (Est.),88%,India,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Oowlish_Data_Analyst__P_20260902_161559.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Oowlish_Data_Analyst__P_20260902_161559.pdf,https://jobs.lever.co/oowlish/4d812d70-6ae0-4640-b6e9-98c7cc9c4080/apply?lever-origin=applied&lever-source%5B%5D=Jobgether&utm_campaign=search&utm_medium=website
True Tandem - Power Platform Developer,Truetandem,₹12 - ₹16 LPA (Est.),95%,India,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Truetandem_True_Tandem___P_20260902_222931.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Truetandem_True_Tandem___P_20260902_222931.pdf,https://jobs.lever.co/truetandem/d82debe7-ee94-401c-bd78-7f50c5b2bd51
Senior Data Analyst / Informaticist,Humana,₹12 - ₹18 LPA (Est.),88%,Remote,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Humana_Senior_Data_Ana_20260903_034108.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Humana_Senior_Data_Ana_20260903_034108.pdf,https://humana.wd5.myworkdayjobs.com/humana_external_career_site/job/remote-nationwide/senior-data-analyst---informaticist_r-428082
